分类,编号,模板ID,中文提示词,英文提示词,标签,状态,性能评分
STUDIO CLASSIC - 经典影棚,1,studio-warm-smile,温暖自信的微笑，眼神直视镜头，纯白影棚背景，柔和漫射专业灯光，藏蓝西装外套搭配白衬衫，齐肩肖像，亲和力强的企业职场人,"Warm confident smile with direct eye contact, clean white studio background, soft diffused professional lighting, navy blazer over white shirt, shoulders-up portrait, approachable corporate professional","影棚, 企业, 微笑, 经典",active,untested
STUDIO CLASSIC - 经典影棚,2,studio-serious-exec,严肃沉稳的高管表情，下巴微抬，炭灰色西装搭配浅蓝衬衫，深灰影棚背景，戏剧性轮廓光，半身肖像，董事会权威感,"Serious composed executive expression, slight chin lift, charcoal grey suit with light blue shirt, dark grey studio backdrop, dramatic rim lighting, waist-up portrait, boardroom authority","影棚, 高管, 严肃, 权力",active,untested
STUDIO CLASSIC - 经典影棚,3,studio-gentle-closed,温婉抿嘴微笑，柔和友善的眼神，奶油色纹理影棚背景，米色西装外套搭配中性色上衣，柔光包裹式布光，齐肩肖像，温暖可信赖的职场人,"Gentle closed-lip smile, soft friendly eyes, cream textured studio backdrop, beige blazer with neutral top, soft wrap-around lighting, shoulders-up, warm trustworthy professional","影棚, 友善, 温暖, 亲和",active,untested
STUDIO CLASSIC - 经典影棚,4,studio-confident-arms,自信表情，嘴角微扬，双臂交叉，藏蓝西装搭配白色开领衬衫，纯白影棚背景，均匀三点布光，半身企业肖像，现代职场人,"Confident expression with slight smirk, arms crossed, navy suit with white open-collar shirt, white studio background, even three-point lighting, waist-up corporate portrait, modern professional","影棚, 自信, 双臂交叉, 企业",active,untested
STUDIO CLASSIC - 经典影棚,5,studio-minimal-black,平静沉稳的表情，黑色细针织高领衫，极简纯白影棚背景，柔光单灯做主光辅以微弱补光，齐肩肖像，现代创意总监，干净美学,"Calm centered expression, black fine-knit turtleneck, minimalist white studio background, soft single-source key light with subtle fill, shoulders-up, modern creative director, clean aesthetic","影棚, 极简, 创意, 高领衫",active,untested
STUDIO CLASSIC - 经典影棚,6,studio-bright-laugh,开怀大笑的抓拍感，亮白影棚加轻微暗角，浅灰西装外套搭配柔和色调衬衫，雷达罩布光，齐肩肖像，充满感染力的亲和领导者,"Mid-laugh genuine candid expression, bright white studio with subtle vignette, light grey blazer over pastel shirt, beauty dish lighting, shoulders-up, joyful approachable leader","影棚, 抓拍, 愉悦, 亲和",active,untested
STUDIO CLASSIC - 经典影棚,7,studio-thoughtful-gaze,若有所思的目光投向镜头外一侧，知性沉思的氛围，深藏蓝渐变背景，酒红西装外套，45度单灯做主光，齐肩肖像，学者型顾问,"Thoughtful gaze directed slightly off-camera, intellectual reflective mood, dark navy background with subtle gradient, burgundy blazer, single key light from 45 degrees, shoulders-up, academic consultant","影棚, 沉思, 学术, 知性",active,untested
STUDIO CLASSIC - 经典影棚,8,studio-relaxed-seated,坐在现代办公椅上放松的姿态，身体微侧然后回头看镜头，亲和微笑，浅灰西装，纯白影棚背景，柔光均匀布光，半身像，友善的高管,"Relaxed seated pose in modern office chair, angled slightly away then looking back at camera, approachable smile, light grey suit, white studio background, soft even lighting, waist-up, friendly executive","影棚, 坐姿, 放松, 高管",active,untested
STUDIO CLASSIC - 经典影棚,9,studio-power-stance,自信站姿，一只手插口袋，身体微侧三分面朝向镜头，炭灰西装搭配挺括白衬衫，深色影棚背景，发丝分离光点缀，尽量全身像，威严气场,"Standing confident pose, one hand in pocket, slight three-quarter turn toward camera, charcoal suit with crisp white shirt, dark studio backdrop with subtle hair light separation, full-length if possible, commanding presence","影棚, 站立, 权力, 全身",active,untested
STUDIO CLASSIC - 经典影棚,10,studio-soft-feminine,温暖迷人的微笑，柔和蝶形布光营造柔光效果，奶油色西装外套搭配丝绸衬衫，淡粉影棚背景，齐肩肖像，亲和又不失精致，现代职场女性美学,"Warm inviting smile, soft glamour lighting with butterfly pattern, cream blazer over silk blouse, pale pink studio backdrop, shoulders-up, approachable yet polished, modern professional feminine aesthetic","影棚, 柔和, 精致, 温暖",active,untested
STUDIO CLASSIC - 经典影棚,11,studio-headshot-classic,经典职业大头照，正面居中构图，自信中性的表情，深色西装外套露出白色领口，中灰无缝背景，经典双灯布光，齐肩肖像，LinkedIn完美适配,"Classic professional headshot, straight-on symmetrical framing, confident neutral expression, dark suit jacket with white collar showing, medium grey seamless background, traditional two-light setup, shoulders-up, LinkedIn perfect","影棚, 经典, LinkedIn, 中性",active,untested
STUDIO CLASSIC - 经典影棚,12,studio-creative-color,略带俏皮的微笑，森林绿西装外套搭配黑色上衣，活力青绿影棚背景，贝壳式布光，齐肩肖像，创意行业从业者，鲜明个人品牌,"Slight playful smile, forest green blazer over black top, vibrant teal studio backdrop, clamshell lighting setup, shoulders-up, creative industry professional, distinctive personal brand","影棚, 创意, 彩色, 与众不同",active,untested
MODERN TECH - 现代科技,1,tech-open-office,自信的微扬嘴角，背景是虚化的现代开放式办公室（玻璃墙+自然窗光），商务休闲白衬衫卷袖，半身像，创业创始人，真实的科技感,"Confident subtle smirk, blurred modern open-plan office with glass walls and natural window light behind, smart casual white button-down with rolled sleeves, waist-up, startup founder, authentic tech vibe","办公室, 科技, 休闲, 创业",active,untested
MODERN TECH - 现代科技,2,tech-standing-desk,站在升降办公桌前，身体微前倾，双手搭在桌沿，专注倾听的表情，深色合身Polo衫，明亮现代办公室背景有绿植点缀，放松的科技从业者,"Standing at a height-adjustable desk, leaning slightly forward with hands resting on the desk edge, engaged listener expression, dark fitted polo shirt, bright modern office background with plants, relaxed tech professional","办公室, 科技, 站立, 专注",active,untested
MODERN TECH - 现代科技,3,tech-cafe-remote,温暖真挚的微笑，背景是虚化的舒适咖啡店内景（暖色吊灯），休闲燕麦色针织衫，侧面柔和的窗光，齐肩肖像，数字游民远程工作者，真实生活方式,"Warm genuine smile, blurred cozy coffee shop interior with warm pendant lights, casual oatmeal sweater, soft window light from side, shoulders-up, digital nomad remote worker, authentic lifestyle","咖啡厅, 远程, 休闲, 生活方式",active,untested
MODERN TECH - 现代科技,4,tech-brick-wall,充满创意的自信表情，背景是裸露砖墙配暖色爱迪生灯泡散景，黑色牛仔夹克搭配炭灰T恤，三分面朝向，创意科技园区从业者，都市真实感,"Creative confident expression, exposed brick wall with warm Edison bulb bokeh behind, black denim jacket over charcoal tee, three-quarter turn, creative tech district professional, urban authentic","都市, 创意, 休闲, 前卫",active,untested
MODERN TECH - 现代科技,5,tech-rooftop,放松愉悦的表情，屋顶露台+城市天际线散景+黄金时刻光线，商务休闲藏蓝西装外套搭配白T恤，暖色自然逆光加反光板补光，齐肩肖像，现代创业者,"Relaxed happy expression, rooftop terrace with city skyline bokeh at golden hour, smart casual navy blazer over white tee, warm natural backlight with reflector fill, shoulders-up, modern entrepreneur","户外, 都市, 黄金时刻, 创业者",active,untested
MODERN TECH - 现代科技,6,tech-lounge-seated,坐在科技公司休息区的现代极简休闲椅上，放松的翘腿坐姿，若有所思的表情，灰色美利奴羊毛衫，大窗户自然光，生活式企业肖像,"Seated on a modern minimalist lounge chair in a tech office lounge area, relaxed crossed-leg pose, thoughtful expression, grey merino wool sweater, natural light from large windows, lifestyle corporate portrait","办公室, 休息区, 坐姿, 生活方式",active,untested
MODERN TECH - 现代科技,7,tech-conference-room,站在白板前（上面有虚化的策略图表），双手做讲解手势，自信且知识渊博的表情，商务休闲西装外套不打领带，现代会议室，思想领袖肖像,"Standing in front of a whiteboard with faint strategy diagrams blurred, explaining gesture with hands, confident knowledgeable expression, business casual blazer no tie, modern conference room, thought-leader portrait","办公室, 会议室, 站立, 领导者",active,untested
MODERN TECH - 现代科技,8,tech-garden-walk,在现代企业园区花园小径上行走中抓拍，回头看向镜头露出自然微笑，商务休闲装+浅色西装外套，黄金时刻阳光透过树叶斑驳洒落，全身动态生活照,"Walking shot captured mid-stride on a modern corporate campus garden path, looking at camera with natural smile, smart casual outfit with light blazer, golden hour dappled light through trees, full-body, dynamic lifestyle","户外, 行走, 动态, 生活方式",active,untested
MODERN TECH - 现代科技,9,tech-monitor-glow,深夜工作美学，面部被显示器柔光照亮+台灯补光，从专注过渡到微笑的表情，深色现代办公室，深色圆领针织衫，私密的真实科技肖像,"Working late aesthetic, face softly lit by monitor glow with practical desk lamp fill, focused expression transitioning to a slight smile, dark modern office, dark crew neck sweater, intimate authentic tech portrait","办公室, 氛围感, 真实, 科技",active,untested
MODERN TECH - 现代科技,10,tech-balcony-overlook,倚靠在现代玻璃阳台栏杆上俯瞰城市，自信放松的表情，商务休闲藏蓝西装外套配口袋巾，明亮阴天自然光，半身像，有远见的职场人,"Leaning on a modern glass balcony railing overlooking a city, confident relaxed expression, smart casual navy blazer with pocket square, bright overcast natural light, waist-up, visionary professional","户外, 城市, 自信, 远见",active,untested
MODERN TECH - 现代科技,11,tech-coworking,温暖协作的表情，虚化背景是色彩丰富的共享办公空间（有人和家具），浅色牛仔衬衫敞开内搭白T恤，齐肩肖像，社群型职场人，现代工作文化,"Warm collaborative expression, blurred vibrant coworking space with colorful furniture and people, light denim shirt open over white tee, shoulders-up, community-oriented professional, modern work culture","办公室, 共享办公, 休闲, 社群",active,untested
